,Unnamed: 0,_id,formhub/uuid,start,end,today,deviceid,Main_group/enumerator_group/name_enum,Main_group/location_details/Select_District,Main_group/location_details/geo_location,Main_group/location_details/well_type,Main_group/location_details/sw_bk_well_no,Main_group/measurement/measurement_point_cm,Main_group/measurement/Well_photo_Use_the_ed_measurement_point,Main_group/measurement/Measurement_of_tape_ent_point_MP_in_m,Main_group/measurement/wet_point_measruement_on_tape,Main_group/measurement/gw_level_from_mp,Main_group/measurement/mp_in_m,Main_group/measurement/gw_level,__version__,_version_,meta/instanceID,_xform_id_string,_uuid,_attachments,_status,_geolocation,_submission_time,_tags,_notes,_validation_status,_submitted_by,Main_group/location_details/bk_dw_no,Main_group/measurement/Audio_Notes_Use_the_to_record_any_notes,Main_group/measurement/Notes,Main_group/location_details/well_no_sw_bardiya,Main_group/location_details/well_no_dw_bardiya
0,0,189659974,36e34b01767e41e291b861fbf251aaf1,2021-06-22T15:23:51.234+05:45,2021-06-22T15:25:59.337+05:45,2021-06-22,868190042176206,yogendra,Banke,28.0019837 81.6524184 83.12032862387017 4.803,sw,bk-sw-29,40,1624354816388.jpg,6.0,1.4,4.6,0.4,4.2,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:9d70f790-c33d-4c5c-b1f4-112cf7833c61,ajbNkrfgsftG7FsDVqc5h9,9d70f790-c33d-4c5c-b1f4-112cf7833c61,"[{'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F9d70f790-c33d-4c5c-b1f4-112cf7833c61%2F1624354816388.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F9d70f790-c33d-4c5c-b1f4-112cf7833c61%2F1624354816388.jpg', 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F9d70f790-c33d-4c5c-b1f4-112cf7833c61%2F1624354816388.jpg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F9d70f790-c33d-4c5c-b1f4-112cf7833c61%2F1624354816388.jpg', 'mimetype': 'image/jpeg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/9d70f790-c33d-4c5c-b1f4-112cf7833c61/1624354816388.jpg', 'instance': 189659974, 'xform': 669773, 'id': 69692604}]",submitted_via_web,"[28.0019837, 81.6524184]",2021-06-30T09:17:33,[],[],{},gw_monitoring,,,,,
1,1,189659985,36e34b01767e41e291b861fbf251aaf1,2021-06-23T13:59:34.927+05:45,2021-06-23T14:04:55.050+05:45,2021-06-23,868190042176206,yogendra,Banke,28.0928993 81.6478289 102.18535161537388 4.803,sw,bk-sw-07_1,15,1624436351262.jpg,2.95,0.5,2.45,0.15,2.3,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:015eeea1-35fe-4c10-b414-f7e9c86c2431,ajbNkrfgsftG7FsDVqc5h9,015eeea1-35fe-4c10-b414-f7e9c86c2431,"[{'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F015eeea1-35fe-4c10-b414-f7e9c86c2431%2F1624436351262.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F015eeea1-35fe-4c10-b414-f7e9c86c2431%2F1624436351262.jpg', 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F015eeea1-35fe-4c10-b414-f7e9c86c2431%2F1624436351262.jpg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F015eeea1-35fe-4c10-b414-f7e9c86c2431%2F1624436351262.jpg', 'mimetype': 'image/jpeg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/015eeea1-35fe-4c10-b414-f7e9c86c2431/1624436351262.jpg', 'instance': 189659985, 'xform': 669773, 'id': 69692606}]",submitted_via_web,"[28.0928993, 81.6478289]",2021-06-30T09:17:34,[],[],{},gw_monitoring,,,,,
2,2,189659999,36e34b01767e41e291b861fbf251aaf1,2021-06-23T14:36:07.821+05:45,2021-06-23T14:39:54.928+05:45,2021-06-23,868190042176206,yogendra,Banke,28.0812159 81.6450163 97.02639652859702 4.551,sw,bk-sw-24_1,54,1624438463315.jpg,5.0,2.7,2.3,0.54,1.76,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:ad99a07e-3a14-4e50-93f6-8dd51c48d01a,ajbNkrfgsftG7FsDVqc5h9,ad99a07e-3a14-4e50-93f6-8dd51c48d01a,"[{'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fad99a07e-3a14-4e50-93f6-8dd51c48d01a%2F1624438463315.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fad99a07e-3a14-4e50-93f6-8dd51c48d01a%2F1624438463315.jpg', 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fad99a07e-3a14-4e50-93f6-8dd51c48d01a%2F1624438463315.jpg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fad99a07e-3a14-4e50-93f6-8dd51c48d01a%2F1624438463315.jpg', 'mimetype': 'image/jpeg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/ad99a07e-3a14-4e50-93f6-8dd51c48d01a/1624438463315.jpg', 'instance': 189659999, 'xform': 669773, 'id': 69692614}]",submitted_via_web,"[28.0812159, 81.6450163]",2021-06-30T09:17:36,[],[],{},gw_monitoring,,,,,
3,3,189660009,36e34b01767e41e291b861fbf251aaf1,2021-06-25T11:46:35.887+05:45,2021-06-25T11:49:27.627+05:45,2021-06-25,868190042176206,yogendra,Banke,28.0493766 81.6616486 81.25724309130749 4.854,sw,bk-sw-08_1,36,1624601034300.jpg,7.0,1.7,5.3,0.36,4.94,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:cc272ae2-175d-49f5-baf0-b888c7ef8944,ajbNkrfgsftG7FsDVqc5h9,cc272ae2-175d-49f5-baf0-b888c7ef8944,"[{'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fcc272ae2-175d-49f5-baf0-b888c7ef8944%2F1624601034300.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fcc272ae2-175d-49f5-baf0-b888c7ef8944%2F1624601034300.jpg', 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fcc272ae2-175d-49f5-baf0-b888c7ef8944%2F1624601034300.jpg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fcc272ae2-175d-49f5-baf0-b888c7ef8944%2F1624601034300.jpg', 'mimetype': 'image/jpeg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/cc272ae2-175d-49f5-baf0-b888c7ef8944/1624601034300.jpg', 'instance': 189660009, 'xform': 669773, 'id': 69692617}]",submitted_via_web,"[28.0493766, 81.6616486]",2021-06-30T09:17:38,[],[],{},gw_monitoring,,,,,
4,4,189660019,36e34b01767e41e291b861fbf251aaf1,2021-06-25T12:56:53.560+05:45,2021-06-25T12:59:28.139+05:45,2021-06-25,868190042176206,yogendra,Banke,28.0285301 81.6946952 84.90758921997094 4.551,sw,bk-sw-30,55,1624605217075.jpg,6.0,1.2,4.8,0.55,4.25,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:853a2751-2167-4b64-be93-f9971569ab07,ajbNkrfgsftG7FsDVqc5h9,853a2751-2167-4b64-be93-f9971569ab07,"[{'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F853a2751-2167-4b64-be93-f9971569ab07%2F1624605217075.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F853a2751-2167-4b64-be93-f9971569ab07%2F1624605217075.jpg', 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F853a2751-2167-4b64-be93-f9971569ab07%2F1624605217075.jpg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F853a2751-2167-4b64-be93-f9971569ab07%2F1624605217075.jpg', 'mimetype': 'image/jpeg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/853a2751-2167-4b64-be93-f9971569ab07/1624605217075.jpg', 'instance': 189660019, 'xform': 669773, 'id': 69692620}]",submitted_via_web,"[28.0285301, 81.6946952]",2021-06-30T09:17:39,[],[],{},gw_monitoring,,,,,
5,5,189660031,36e34b01767e41e291b861fbf251aaf1,2021-06-25T13:58:58.347+05:45,2021-06-25T14:01:49.539+05:45,2021-06-25,868190042176206,yogendra,Banke,27.9833291 81.7133238 81.77689259407666 4.551,sw,bk-sw-10_1,70,1624608940989.jpg,5.0,2.31,2.69,0.7,1.99,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:ca7d4159-672c-475a-8f3e-9d7ac51f36d6,ajbNkrfgsftG7FsDVqc5h9,ca7d4159-672c-475a-8f3e-9d7ac51f36d6,"[{'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fca7d4159-672c-475a-8f3e-9d7ac51f36d6%2F1624608940989.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fca7d4159-672c-475a-8f3e-9d7ac51f36d6%2F1624608940989.jpg', 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fca7d4159-672c-475a-8f3e-9d7ac51f36d6%2F1624608940989.jpg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fca7d4159-672c-475a-8f3e-9d7ac51f36d6%2F1624608940989.jpg', 'mimetype': 'image/jpeg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/ca7d4159-672c-475a-8f3e-9d7ac51f36d6/1624608940989.jpg', 'instance': 189660031, 'xform': 669773, 'id': 69692626}]",submitted_via_web,"[27.9833291, 81.7133238]",2021-06-30T09:17:42,[],[],{},gw_monitoring,,,,,
6,6,189660038,36e34b01767e41e291b861fbf251aaf1,2021-06-27T11:20:27.804+05:45,2021-06-27T11:23:28.286+05:45,2021-06-27,868190042176206,yogendra,Banke,28.0512338 81.6024418 103.20814738517352 4.854,dt,,27,1624772265743.jpg,6.0,2.3,3.7,0.27,3.43,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:7765eba8-27ee-48c2-a591-24450c2e08b1,ajbNkrfgsftG7FsDVqc5h9,7765eba8-27ee-48c2-a591-24450c2e08b1,"[{'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F7765eba8-27ee-48c2-a591-24450c2e08b1%2F1624772265743.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F7765eba8-27ee-48c2-a591-24450c2e08b1%2F1624772265743.jpg', 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F7765eba8-27ee-48c2-a591-24450c2e08b1%2F1624772265743.jpg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F7765eba8-27ee-48c2-a591-24450c2e08b1%2F1624772265743.jpg', 'mimetype': 'image/jpeg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/7765eba8-27ee-48c2-a591-24450c2e08b1/1624772265743.jpg', 'instance': 189660038, 'xform': 669773, 'id': 69692629}]",submitted_via_web,"[28.0512338, 81.6024418]",2021-06-30T09:17:43,[],[],{},gw_monitoring,bk-dw-05,,,,
7,7,160414070,36e34b01767e41e291b861fbf251aaf1,2021-02-22T15:03:07.522+05:45,2021-02-22T15:05:12.227+05:45,2021-02-22,868190042176206,yogendra,Banke,28.0020096 81.6522108 107.77393555615072 4.854,sw,bk-sw-29,40,1613985577408.jpg,6.0,1.5,4.5,0.4,4.1,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:2a46792a-c435-4b65-85d2-edcf085d8ab5,ajbNkrfgsftG7FsDVqc5h9,2a46792a-c435-4b65-85d2-edcf085d8ab5,"[{'mimetype': 'image/jpeg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F2a46792a-c435-4b65-85d2-edcf085d8ab5%2F1613985577408.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F2a46792a-c435-4b65-85d2-edcf085d8ab5%2F1613985577408.jpg', 'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F2a46792a-c435-4b65-85d2-edcf085d8ab5%2F1613985577408.jpg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/2a46792a-c435-4b65-85d2-edcf085d8ab5/1613985577408.jpg', 'instance': 160414070, 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F2a46792a-c435-4b65-85d2-edcf085d8ab5%2F1613985577408.jpg', 'id': 55953737, 'xform': 669773}]",submitted_via_web,"[28.0020096, 81.6522108]",2021-02-23T09:17:59,[],[],{},gw_monitoring,,,,,
8,8,160414084,36e34b01767e41e291b861fbf251aaf1,2021-02-22T15:27:59.191+05:45,2021-02-22T15:29:47.502+05:45,2021-02-22,868190042176206,yogendra,Banke,28.0151149 81.6542853 86.65167613637765 4.854,sw,bk-sw-09_1,60,1613987053743.jpg,5.0,2.02,2.98,0.6,2.38,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:e14b500e-598d-4818-825f-1330e06b0cf9,ajbNkrfgsftG7FsDVqc5h9,e14b500e-598d-4818-825f-1330e06b0cf9,"[{'mimetype': 'image/jpeg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fe14b500e-598d-4818-825f-1330e06b0cf9%2F1613987053743.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fe14b500e-598d-4818-825f-1330e06b0cf9%2F1613987053743.jpg', 'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fe14b500e-598d-4818-825f-1330e06b0cf9%2F1613987053743.jpg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/e14b500e-598d-4818-825f-1330e06b0cf9/1613987053743.jpg', 'instance': 160414084, 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2Fe14b500e-598d-4818-825f-1330e06b0cf9%2F1613987053743.jpg', 'id': 55953749, 'xform': 669773}]",submitted_via_web,"[28.0151149, 81.6542853]",2021-02-23T09:18:02,[],[],{},gw_monitoring,,,,,
9,9,160414035,36e34b01767e41e291b861fbf251aaf1,2021-02-20T10:56:20.924+05:45,2021-02-20T10:58:50.129+05:45,2021-02-20,868190042176206,yogendral,Banke,28.1287297 81.5894124 88.46230121420037 4.854,sw,bk-sw-17_1,15,1613797969427.jpg,5.0,1.78,3.22,0.15,3.07,vrPtKVyay9YP5gTyKY9Nc5,vGKroCXb8wXuSvj7VB8gGJ,uuid:0fc6bb99-d72b-41e3-b6ac-0e62ffd1858e,ajbNkrfgsftG7FsDVqc5h9,0fc6bb99-d72b-41e3-b6ac-0e62ffd1858e,"[{'mimetype': 'image/jpeg', 'download_small_url': 'https://kc.humanitarianresponse.info/media/small?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F0fc6bb99-d72b-41e3-b6ac-0e62ffd1858e%2F1613797969427.jpg', 'download_large_url': 'https://kc.humanitarianresponse.info/media/large?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F0fc6bb99-d72b-41e3-b6ac-0e62ffd1858e%2F1613797969427.jpg', 'download_url': 'https://kc.humanitarianresponse.info/media/original?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F0fc6bb99-d72b-41e3-b6ac-0e62ffd1858e%2F1613797969427.jpg', 'filename': 'gw_monitoring/attachments/36e34b01767e41e291b861fbf251aaf1/0fc6bb99-d72b-41e3-b6ac-0e62ffd1858e/1613797969427.jpg', 'instance': 160414035, 'download_medium_url': 'https://kc.humanitarianresponse.info/media/medium?media_file=gw_monitoring%2Fattachments%2F36e34b01767e41e291b861fbf251aaf1%2F0fc6bb99-d72b-41e3-b6ac-0e62ffd1858e%2F1613797969427.jpg', 'id': 55953717, 'xform': 669773}]",submitted_via_web,"[28.1287297, 81.5894124]",2021-02-23T09:17:51,[],[],{},gw_monitoring,,,,,
